Goal No.,Goal No.,title,Abstract
3,9,"DIELECTROPHORETIC MANIPULATION AND SEPARATION OF CELLS BY
USING OCTPOLE ELECTORODES","Introduction
Cell manipulation technique is very required in the research of biomedicine, bioscience and other fields. The equipment currently used for this purpose such as micro-manipulator or optical tweezer is usually bulky and expensive because these are using mechanical system. Therefore, miniaturized and low-cost cell manipulation systems to utilize a dielectrophoresis(DEP) have been studied in recent years. DEP is the phenomenon that a force acts on a dielectric particle exposed to a spatially non-uniform electric field. The direction of the force becomes positive or negative by a relation of dielectric constants between the particle and surrounding medium. In the negative DEP(nDEP) the force acts toward weak electric field region. We succeed trapping a cell at minimum point of electric field and manipulating the cell by controlling a position of minimum electric field in an octpole electrodes. In this study, we investigated cells / particles separation by using a difference of dielectrophoretic force in the octpole electrodes. For the first step, using different size polystyrene beads instead of cells because magnitude of DEP force depend on a particle size. The moving time of particles were measured when the particle was manipulated in the octpole electrodes.
Experimental method and result
Polystyrene beads with diameter of 6[um] and 10[um] were used as object of manipulation. At first, the bead was trapped at the minimum point of electric field (A in Fig.1) made by octpole electrode and the position of the minimum point was changed to B. The required time moving from A to B was measured each size polystyrene beads. Table 1 shows experimental result. From the result, a difference of the DEP force with particle size was verified, but the difference is smaller than the value expected by the theory."
3,9,Design of photoluminescent hydroxyapatite nanoparticles interacting citric acid,"For the development of cell-labeling nanomaterials, the improvement of biocompatibility, luminescence intensity and water dispersibility is desired. We have clarified the importance of photofunction associated with the hydroxyapatite (HA)/organic hybrid structures. In this study, we aimed to synthesize the efficient luminescence ability including the luminescence internal efficiency based on the photofunctional interfaces between the citric acid (Cit) and Eu+-containing HA (Eu:HA) (2) in the hybrid nanoparticles (NPS), and investigate the Cit effect on the suppression of the HeLa (Human Cervical Carcinoma) cell line growth. In particular, the hybrid NPs between Eu:HA and Cit (Cit/Eu:HA) were synthesized, and the luminescent properties and water dispersibility with adding Cit were investigated. Moreover, the cytocompatibility and the cell-labeling properties were evaluated to investigate the effect of the Cit/Eu:HA NPs on the suppression of the HeLa cell growth by the Cit molecules (Fig. 1). As a result, the Cit/Eu:HA NPs were successfully synthesized, leading to the luminescence enhancement based on the novel inorganic/organic hybrid structures and improvement of water dispersibility by the charge repulsion among Cit molecules. Furthermore, the cytostatic suppression and the cell-labeling were achieved for the HeLa cells."
3,6,Transparent Thin Film Hydroxyapatite by Addition of Citric Acid on Glass Surface,"Therefor, in this study, it was investigated that transparent HA thin-film was prepared HA slurry by adding citric acid. The calcium nitrate 2000 (Ca(NO3)2:4H20) and ammonium dihydrogen phosphate ((NH4)H2PO4) were dissolved in ion exchanged water. Citric acid was added dropwise to adjust the pH of the HA slurries to 8.8, 8.6, 8.4, 8.2, and 8.0. Obtained HA sluury of DLS size and zeta potential were evaluated by zetasizer
8.0 8.2 8.4 8.6 8.8 9.0 measurements. It was indicated that HA slurry at
Fig. 1 DLS size and zeta potential at various pH8.2 was dispersed by sedimentation test.
pH of HA slurry Dispersed HA slurry was dropped on the glass by heating at 500°C for 10min."
3,9,"Release of Protein from the Silica-Cholesterol-bearing Hyaluronic Acid Hybrid
Hydrogel","A hydrogel scaffold that sustains releasing of protein in an active state is important for regenerative medicine. Cholesterol-bearing hyaluronic acid (CHA) composed from liner polysaccharide of hyaluronic acid (HA) and cholesteryl group forms hydrogel particles spontaneously by the hydrophobic interaction between cholesteryl groups in water. CHA particles can be used as a protein carrier because of their incorporation and release easily of proteins!. Previously, we prepared the CHA-silica hydrogel by the just mixing the CHA (HA MW 1.11 X 10%, degree of substitution of cholesteryl groups per 100 HA units is 35) and watersoluble organosilane (THEOS). The formation of siloxane bond by cross-linkage in the CHA-THEOS hydrogel was confirmed by 29Si MAS-NMR spectra. The FT-IR spectra of the CHA-THEOS hydrogel also showed presence of siloxane bond in the hydrogel. The CHA-THEOS hydrogel was stable for a week in PBS at 37°C. In this study, we prepared the protein incorporated CHA-THEOS hydrogel and measured activity of the protein released from the hydrogel. We used lysozyme as a model protein. As a result, lysozymes released from the CHA-THEOS hydrogel showed some activity. In contrast, there were no activity of lysozymes released from the HA-THEOS hydrogel and the THEOS hydrogel. These results indicated that the CHA particles prevented the denaturation of lysozyme during the formation of the hydrogel by sol-gel reaction of THEOS. By the hydrogelation using THEOS, hydrogels containing functional polymers such as PEG can be easily prepared. The CHA-THEOS hydrogel can be expected as a hydrogel scaffold for sustain release of proteins in active state."
3,4,"Investigation of Relationship Between Progress of Creative Activity
and Brain Activity by Simplified Music Composition","In our daily life, we enjoy creative activity such as music, movie, picture and novel. When we come up with a good idea and/or we get excited in creative activity, sometimes we can make high quality work or obtain good progress, which can be postulated that brain becomes active in these conditions. In this research, we investigate relationship between work progress, self-evaluation and brain activity in music composition as a creative activity. If we reveal these, there is a possibility that we can invent method of brain activation for creative activity. Brain activities during composition are determined from 10-channel wearable optical topography(WOT-100).
However, in this research, to secure plenty of subjects was difficult since the people who are not knowledgeable about music cannot compose the music generally. Therefore, we invented new simplified method of composition that is creatable even if a subject has never composed music and/or played instruments. In advance, we created three instrument's phrases in common key (A minor) and tempo (120bpm) which are 11 drum's phrases, 7 electric guitar's phrases for accompaniment and 11 electric guitar's phrases for melody. Songs will be created by choosing these phrases and combining freely. We quantitatively evaluate brain activity by the WOT-100 when the subjects execute the relaxation task and the composition task. Listening to natural ambient sound such as sound of wind, river, birds singing and so on and closing eyes were chosen for the relaxation task which is used as control [1]. After the relaxation task, the composition task is executed. We will ask the subjects refrain from moving their body, particularly head and neck as much as possible under experiment to decrease influence of body movement. We will also measure time that the subjects spent until finish to create song and use this as progress. Furthermore, in order to investigate how satisfy created songs, we will ask subjects subjective evaluations from 0 to 100 points using VAS (visual analog scale) after the experiment. Details of cerebral blood flow measurement and calculation are described in reference [2]
As a predict result, both of right- and left-prefrontal cortex is activated. However, how to change of cerebral blood flow indicate some characteristics or differences due to differences of progress or self-evaluation."
3,9,Exploring the target selectivity of PAD4 inhibitor with molecular dynamics simulation,"Rheumatoid arthritis (RA) is a systemic autoimmune disease that affects 1% of the world's population, and it cause physical dysfunction by synovial arthritis and destructive joint lesion. Fundamental treatment of RA is still not found as of this moment, thus development of orally administrated drugs which can take easily and less physical burden is required. Protein Arginine Deiminase (PAD) is the enzyme which converts peptidyl-arginine into peptidyl-citrulline. This modification is termed citrullination or deamination. There are five PAD isozymes (PADI, PAD2, PAD3, PAD4 and PADO). PAD1 to PAD4 possess citrullination activity, whereas PAD6 doesn't because of number of mutations. Among the four PAD isozymes, previous studies show that PAD4 are overexpressed in RA and citrullinates a number of target proteins. One of the main connections between dysregulated PAD4 activity and RA is that RA patients produce autoantibodies to citrullinated proteins [1]. For these reasons, PAD4 is drawing attention as promising drug target in RA therapy. Since the isozymes share homologous sequences and possess a high degree of sequence identity (more than 50 %), inhibitors that can bind to PAD4 may also bind to other isozymes. Selectivity is one of the most important factors affecting side effects. To date, GSK 199 has been reported as potential PAD4 selective inhibitor[2]. The dissociation constant of GSK 199 and PAD4 is 16 + 4.9uM whereas the dissociation constant of GSK199 and PADI, PAD2, and PAD3 are 570 + 265uM, 1580 + 930M, and 925 + 220uM respectively. The complex structure of GSK199 and PAD4 (PDB ID: 4X8G) is reported, however, PAD1/GSK199 complex, PAD2/GSK199 complex, and PAD3/GSK199 complex are still not reported.
It is necessary for developing PAD4 selectivity inhibitor to elucidate the target selectivity of GSK199 based on structure information. This research plans to conduct modeling of PAD1/GSK199 complex, PAD2/GSK199 complex, and PAD4/GSK199 complex, molecular dynamics simulation for each complex structure, and proteininhibitor interaction analysis. Here we discuss target selectivity of GSK199."
3,9,Elucidation of target selectivity of selective MCL1 inhibitor using molecular dynamics simulation,"    The B cell lymphoma 2 (BCL2) gene family have a central role in regulating programmed cell death by regulating intracellular signaling with pro-apoptotic and anti-apoptotic proteins. Myeloid cell leukemia 1 (MCL1), one of the BCL2 gene family anti-apoptotic protein, is needed to sustain the growth of cancer cells such as acute myeloid leukemia (AML) and multiple myeloma [1]. In addition, cancers caused by dysregulation of MCL1 are associated with poor survival rate and resistance to chemotherapy. For these reasons, MCL1 are attracting attention as drug discovery targets.
However, the high-affinity interactions with MCLI's endogenous ligands, along with sequence similarity to BCL2 and BCL-XL that both are anti-apoptotic protein (the sequence identity between MCL1 and BCL-2 and MCL1 and BCL-XL are 33% and 29% respectively) has made it challenging to design small molecules that inhibit MCL1. Recently, AMG-8621 was reported as a selective MCL1 inhibitor [2]. The inhibitory ability of AMG-8621 to MCL1 is 0.00005 umol/L, whereas the inhibitory ability to BCL-2 and BCL-XL is 2.5 umol/L and 1.9 umol/L respectively. To develop better MCL 1-selective inhibitors, it is necessary to elucidate the target selectivity of AMG-8621 based on structural information. The purpose of this study is to elucidate the target selectivity of the MCL1 selective inhibitor AMG-8621. First, we plan to design BCL-2/AMG-8621 complex and BCL-XL/AMG8621 complex because no structural information about these complexes is reported. Subsequently, molecular dynamics simulation and interaction analysis are performed on MCL1/AMG-8621 complex (PDB ID: 6OQB), BCL-2/AMG-8621 complex and BCL-XL/AMG-8621 complex. In this poster presentation, we will discuss the target selectivity of AMG-8621 based on the results of protein-inhibitor complex modeling and interaction analysis."
3,9,The possibility of actin as “mechano-sensor”,"Actin form part of the cytoskeleton is most abundant protein in eukaryotic cell. Under physiological ionic conditions, monomeric actin polymerize to form filamentous actin (F-actin). Actin is involved in a large number of cellular functions such as muscle contraction, cell migration and cell division. For example, in cancer cell invasion, actin polymerization contributes to force generation for cell migration [1]. These cell functions are depending on interaction between F-actin and various actin-binding proteins (ABPs). ABPs change molecular structure of actin subunit within F-actin, which thought to be important for functions of ABPs 12).
In our body, cells under various external forces, which are involved in cell functions. For example, blood vessel cells sense the change of shear stress, and control blood presser by to expand or shrink blood vessel pores. Furthermore, cells forced by neighboring cell in body. If this force is disappeared, cells become to die. These phenomena are indicating that cells have mechanical sensors. Recently, it has been suggested that one of mechanical sensors is F-actin (3]. The external forces supplied to cells are speculated to change molecular structure of F-actin and affect localization of ABPs in cell. This re-arrangement of APBs in cells may lead to response of cells to the mechanical force.
However, the distribution of actin structures in cells has not been observed, and the relationships between actin structure, localizations of ABPs in cell and the external force to cell are unclear. In this study, we developed the FRET probed actin (FRET actin; Fig.1) which allow us to detect structural differences of actin in living cell. We first confirmed the competence as probe to detect conformational
Fig1. FRET actin differences of actin molecule. Next, we plan to introduce FRET actin Actin molecule is shown in the ribbon into cells and analyze distribution of actin structures in cells. Also, to model. FRET actin is attached two understand effect of external force to cell on actin structure, cells fluorescent dyes. containing FRET actin will be pushed by a glass needle. Insights from FRET is the phenomenon that fluorescent these results may contribute to understand mechanism of cellular energy of donor dye transfers to acceptor functions including cancer cell migration.
dye."
3,9,REPRODUCTION OF EMBRYO DEVELOPMENT USING MICROPERFUSION CULTURE CHAMBER AND COMPUTATIONAL SIMULATION ,"For vertebrate development, bone morphogenic protein-4 (BMP-4) and its inhibitor, Noggin, are known as
  [1]
In our previous study, to reveal the mechanism of embryonic pattern formation, we investigated effects of BMP-
important differentiation-inducing factors
, which form germ layer and pattern along body axis by diffusion
.
4 on cell differentiation by using human induced pluripotent stem cells and perfusion culture chamber
cell density condition, cells located upstream area were differentiated but those cells located downstream area were not. Based on these results, we hypothesized that the differentiated cells secreted Noggin and secreted Noggin inhibits BMP-4 at downstream, resulting in the cells located downstream area were not differentiated. To test our hypothesis, we simulated substance concentration in the perfusion culture chamber. The substance concentration was simulated based on Navier-Stokes equations with reaction terms. The cells were differentiated when the cells were exposed by BMP-4 over threshold level, and then start to secrete Noggin. The condition of which the threshold of differentiation has variation by uniform random numbers leads to similar results as our previous experiment (fig 1). All cells were differentiated in the condition that thresholds were constant values. However, cells located upstream area were differentiated but those cells located downstream area were not, in the condition that the thresholds were random values. This result consistent with our hypothesis. As a future subject, we will also test other relation between accumulated BMP-4 and Noggin secretion."
3,9,Differences in adhesion on poly dimethyl cyclohexane and polystyrene using human iPS cells,"Human induced pluripotent stem cells (hiPSC) are expected to be used in regenerative medicine and drug discovery. Normally, human iPS cells adhere and culture on a cell culture substrate made of tissue-culture-treated polystyrene (TCPS). On the other hand, polystyrene dimethyl siloxane (PDMS) enables microfabrication of laboratory equipment such as microfluidic device due to its characteristics and ease of molding[1]. Our previous investigations have demonstrated that iPS cells are easier detached from PDMS surface than on TCPS[2]. These results suggest that cell adhesion is different between PDMS and TCPS. In this study, by comparing various adhesive properties between them, we examined the conditions for easy bonding.
First, iPS cells and laminin fragments were introduced simultaneously on PDMS and TCPS to examine whether cell adhesion[3]. As a result, cells were adhere on TCPS, but not on PDMS, suggesting that a difference in cell attachment time. Next, PDMS and TCPS were coated with laminin fragments or vitronectin for 1, 4, and 24hours respectively to examine the differences in cell adhesion. As a result, cell adhesion was observed after short period coating of laminin fragments on TCPS. However, in PDMS, cell adhesion time was shortened by using vitronectin as a coating agent. Finally, to improve hiPSC adhesion on PDMS surface vitronectin was pre-coated for 24 hours, and then laminin fragments and iPS cells were introduced simultaneously (double coat). As a result, the adhesion of cells in TCPS depends on the concentrations of laminin fragment and vitronectin. When TCPS was double coated, there was no interaction between laminin fragments and vitronectin. On the other hand, it was confirmed that the concentration of vitronectin has a significant effect on PDMS, and double coating may improve cell adhesion.
These results suggest that when PDMS is used, the cell adhesion is weaker than TCPS and the coating needs to be improved."
3,9,"Effects of thalidomide on the formation of neuron from
human induced pluripotent stem cells","Although thalidomide was once given to pregnant women as a gentle sedative, it has been shown to be highly teratogenic. Recently, interest in thalidomide has been renewed due to its therapeutic effects on intractable diseases. However, the teratogenicity of thalidomide is not yet fully understood. The effect of thalidomide on mesoderm (future muscle and bone) is well known. However, thalidomide also affects the nerves. For example, taking thalidomide has been shown to paralyze the terminal nerve.
In this study, we evaluated the effect of thalidomide on early neuronal differentiation by using human induced pluripotent stem cells (hiPSC). Neuronal differentiation was induced for 6 days. Thalidomide was simultaneously exposed with ectoderm differentiation. The immunostaining results showed that neuronal marker expressed in both the control and thalidomide exposed add on day 6.On the other hand the number of viable cells in the thalidomide exposed sample was increased significantly compared to that in control sample. The results suggests that the addition of thalidomide promoted the number of neurons.
Our findings help elucidate the mechanisms underlying thalidomide's teratogenicity, nerve system and may approach the safe use of this drug."
