Goal No.,title,Abstract,Conclusion,,
7,"Photocatalytic Water Splitting on RuO2-loaded Metal Ion-doped CeO2 Prepared
by Pulsed Laser Irradiation","Hydrogen is expected to be conventional secondary energy and alternative energy to oil. Photocatalytic water
splitting into hydrogen and oxygen has become one of the important issues. Recently, we have discovered that
RuO 2 -loaded metal ion-doped CeO 2 prepared by solid state reaction shows an efficient activity for
photocatalytic water splitting into hydrogen and oxygen [1]. In our more recent study, it was found that
heterogeneous metal ion-doping into CeO 2 surface plays an important role for enhancing photocatalytic activity,
indicating that two regions of metal-ion doped and undoped phase exists on surface [2]. In this study, we
attempted to prepare Sm or Y-doped CeO 2 with heterogeneous doping structure by pulsed laser irradiation.
Relation between photocatalytic activity for water splitting and doping structure were investigated.",,,
7,Development of FRP with Radiation Shielding Effect,"In the decommissioning of Fukushima Daiichi Nuclear Power
Plant, removal of fuel debris will be carried out using a robot under
a strong radiation environment. However, detailed information on the
situation inside the nuclear reactor has not been obtained.
A small underwater robot is necessary to investigate the inside of a
nuclear reactor filled with water. In the nuclear reactor, debris and
broken pipes are scattered, so downsizing is necessary. Weight
reduction is necessary to improve the operability of the underwater
robot.
We designed a FRP with high radiation resistance and shielding
effect, assuming to use as the shielding material for the remote
underwater robots which will be used in high radiation area. And its
physical characteristics were evaluated.","From the results of the bending test, it was confirmed that the bending strength and the modulus of elasticity decreased by the
addition of the copper powder
-Gamma rays from a sealed
137 Cs source were irradiated on to the shielding material with monitoring the counts measured by a
radiation monitor. It was confirmed that, by adding copper powder, shielding effect was enhanced. From the results, it was
found that the copper powder contributed to gamma ray shielding.",,
7,"Measurement of Electron Energy in Fast Plasma Flow Generated by Tapered
Cone Plasma Focus Device by Using Retarding Potential Analyzer","Ion beams, which are utilized in various engineering applications such as cancer therapy or material
processing, are required high current density. However, the ion current density supplied by conventional
gas-discharge ion sources is limited by the ion flux injecting into electrodes decided by
the thermal diffusion of the source plasma, and the electric potential generated by beam ions in
electrodes. For improving the current density of ion sources, transportation of charged particles by
giving a drift velocity with keeping charge neutrality is an effective method. We propose a tapered cone
plasma focus device (TCPFD) [1,2] towards the construction of the novel ion source with high current
density. The TCPFD produces a fast plasma flow with the velocity of 30 km/s in helium gas discharge.
Moreover, the acceleration phenomenon of charged particles by the interaction between the fast plasma
flow generated by the TCPFD and the perpendicular magnetic field has been reported [2] .
The purpose of this study is to measure the energy of charged particles provided by the TCPF for
constructing the high current density ion source. First of all, we made a retarding potential analyzer
(RPA) [3] for measuring the current from the plasma flow generated by the TCPFD. The measurement
using the RPA detected the negative current, and showed the variation of the current peak with the
change of the biased voltage. Therefore, the current measurement system for evaluating the kinetic
energy of charged particles provided by the TCPFD was constructed. We will discuss the drift velocity
and the electron temperature by evaluating the electron energy in further work.",,,
7,"An approach of Investigating Characteristics of C-Zn-Sn-S (CZTS) and Cu-Sn-
S (CTS) with Terahertz Spectroscopy","Cu-Zn-Sn-S (CZTS) and Cu-Sn-S (CTS) are
well known as environmental conscious
semiconductors. These materials are also
proposed highly efficient and toxic-less solar
cell material.
Especially, CTS has unique properties which is
absorbable of visible light and high absorption
coefficient. However, it has been reported there
are two different crystal structure types in CTS,
cubic and orthorhombic crystals respectively.
Its solid states properties are complicated and
still unknown.
In the X-ray diffraction, a peak of (112) of CTS was confirmed, and in Raman spectroscopy, a
peak was confirmed at 280 and 350 cm-1.In composition analysis, a value close to the
stoichiometric ratio of CTS (2: 1: 3) was confirmed.",,,
7,"Investigations into the Properties of New, Functional, Carbon Particles as
Electrode Materials","Recently, fuel batteries have attracted a significant amount of attention owing to their ability to
overcome energy and environmental problems. Currently, platinum is employed as a catalyst because
the rate of the oxygen reduction reaction is low in polymer electrolyte fuel cells. However, platinum is
rare and expensive, therefore alternative catalysts such as carbon materials are in consideration.
Additionally, hydrogen is being considered as a clean energy carrier. One of the methods to produce
hydrogen is the electrolysis of water. However, electrodes for hydrogen generation are either high-cost
and high-efficiency or low-cost and low-efficiency materials. Therefore, low-cost and high-efficiency
electrodes are required. This study aims to utilize carbon particles (CPs) in electrode materials with
multi-layer graphene-covered metal obtained from proprietary technology (methane direct
decomposition method with microwaves).
The CPs were evaluated for effectiveness as electrode materials through electrochemical
measurements. The measurements were performed with linear sweep voltammetry using a
three-electrode cell with a scan rate of 10 mVs ?1 . The electrolytic solutions were a 0.1 M aqueous
solution of sodium sulfate (Na 2 SO 4 ) saturated with O 2 , and a 0.1
M aqueous solution of Na 2 SO 4 with the remaining air expelled
by inert gas. Either CPs or platinum on nanocarbon (Pt/C) were
packed into a porous microelectrode (PME, ? = 50 ?m). We
performed electrochemical measurements in the electrolytic
solutions with a potentiostat/galvanostat and a function generator.
Gold (Au), and carbon-fiber microelectrodes, as well as PMEs,
were utilized as the working electrode. Ag/AgCl was employed
as the reference electrode, and a Pt coil was utilized as the
counter electrode.
Figure 1 shows the current–potential curves by a linear
sweep voltammetry in 0.1 M Na 2 SO 4 saturated with O 2 . Figure
2 shows the current–potential curves by a linear sweep
voltammetry in 0.1 M Na 2 SO 4 with remaining air expelled by
inert gas. These results indicate that CPs possess an reduction
capability, in comparision to that of Pt/C. Therefore, it may be
possible to provide a novel, highly-active, and low-cost carbon
materilals useful as an alternative to a platinum materials.",,,
7,"Characterization and Gene Analysis of Microalgae for the Production of Useful
Materials","Microalgae have the advantage of fast growth rate and the ability to produce useful materials.
One of useful materials produced by microalgae is carotenoids. They have extensively used in
supplements, cosmetics and food. It has been known that Haematococcus pluvialis which
produces astaxanthin and its application is progressing. Recently it was reported that
Botryococcus, BOT20 strain collected in Okinawa, contains carotenoids such as echinenone.
Echinenone has antioxidative activity of 23 times than astaxanthin.
In this study, we focused on orange microalgae newly collected from the field, and considered
that it is useful to search for that pigment component. At first, we examined the culture
conditions to establish a sterile culture method. A culture system with the AF6 medium was
performed, and cells underwent a color change to orange at pH4. In order to inform
bioprospecting efforts, the 18S rDNA regions were used for phylogenic analysis. DNA was
extracted and primers for PCR were designed for Chlorococcales.sp. As a result, microalgae
used in this study was clarified to Botryococcus. The carotenoid biosynthetic pathway of
Botryococcus is still not completely elucidated. Therefore, we focued on enzymes, CrtW and
CrtZ working on the biosynthetic pathway of carotenoids, and cloning of cDNA was performed
by RT-PCR.",,,
8,Development of Hydroponics Kit Using IoT for Employment Support,"Hydroponics as a plant factory is strongly attracting attention in Okinawa, because of
its unsusceptible features for natural disasters such as typhoon and pests. Since
agriculture population recently declines, proprietors of a plant factory tend to employ
agricultural inexperienced people including handicapped people. However, it is difficult
to employ different types of diverse people because of their working skills and handicap
characteristic differs. Actually, they have some anxieties about agricultural works. They
often say ""it is hard to make work plan of the day"", ""I want someone to instruct the next
work step by step"". In order to solve the anxieties and improve productivity of
agricultural crops in hydroponics, this paper propose small-scale hydroponics system,
called hydroponics kit, as shown in Figure 1. Our works in the collaborative project are
constructed two parts as followings:
1. To develop the hydroponics kit, we firstly clarify visualization of the tacit
knowledge of hydroponics. Especially, we analyze growth speed of lettuce are
cultivated in several parameters such as light quantity, light color, water
temperature, and fertilizer concentration. Then, optimal parameters to growth of
agriculture crops was find out. Details of hydroponics kit and curios results of
lettuce?growth rate analysis will be reported at the workshop in October.
2. Actual experiment at a welfare facility is carried out. Main aim of this experiment
is to verify whether handicapped people is possible to learn the working process
using our hydroponics kit. Experimental results will be summarized at the final
report in May.",,,
9,"Effect of the Addition of Surfactants for the Formation CBPEA Organic
Nanoparticles Using the Laser Ablation in Solution","It is well known that metal nanoparticle can be easily generated using the laser
ablation process in solution and that the efficiency of such nanoparticle formation is
enhanced by adding surfactants[1]. In this study, we have investigated the influence of
the type and the concentration of surfactant on the efficiencies of the fluorescent organic
nanoparticle formation of 1-chloro-9,10-bis (phenylethynyl) anthracene (hereinafter,
CBPEA) as well as that of 9,10-bis (phenylethynyl) anthracene (hereinafter, BPEA)
using the laser-ablation technique in surfactant solution by measuring the absorption
spectra after the laser-ablation processes.
Fig.1 are results of the absorption spectra of CBEPA nanoparticles formed by
the laser ablation in amphoteric TDDSA surfactants with acidic (pH = 3) and also basic
(pH = 10) conditions. As shown in Figure 1, the generation efficiency of CBPEA
nanoparticles was remarkably increased in the surfactant solution as compared with
laser ablation in water. In addition, when pH of amphoteric surfactant TDDSA solution
was 10, the absorbance of CBEPA drastically increased compared with that obtained at
pH = 3. As for the spectral shape of CBEPA nanoparticles generated by the laser-ablation
processes, it was found that there were
differences between pH = 3 and pH = 10.
That is, for CBEPA nanoparticles the
absorption spectra at pH 3 has two peaks
at 450 nm and 480 nm, whereas
absorption spectra at pH 10 there are
three peaks at 430 nm, 470 nm and 510
nm. The mechanism of pH dependence of
nanoparticle formation by the laser
ablation in amphoteric surfactant solutions
are also discussed.",,,
9,Feasibility Study of Debonding and Breakage of Extra-Thick Paperboard,"A combined-laminated paperboard, the thickness of which is larger than 2mm up to 4.5mm, is considered to be a fundamental recycled-bio material for producing the packaging hard tray, the hard cap/bottom of paper-made cylindrical container and the core material of tatami bed. The stacked plies of thick paperboard generally consists of several different material properties combined of hard and soft, or fragile and ductile). Therefore, in the process of form-cutting by the use of wedge knife or punch/die tool, the sheared zone of worksheet tends to be inferior in that profile, debonding, string-like dust generation, while the life time of cutting blade tends to be shorten due to the heavy loading. Since the thickness of worksheet is quite larger than that of general purpose packaging, the optimal blade shape and suitable loading condition should be revealed. However, the processing of cut off the extra-thick board is too special to observe in public, there are not almost academic reports on the cutting behavior of extra-thick board and also any fundamental physical properties of extra-thick board. In this work, the fundamental physical properties of a 4.5mm thickness board was investigated to reveal the dissimilar properties of laminated layers, using the uni-axial in-plane tensile testing. Here, appropriate size of testing specimen was firstly investigated. As the result, some physical properties were compared to that of well-known thin paper board. Next, by choosing several blade types and cutting mechanisms, the corresponded features of blade motion and breakage behavior of upper/lower layers of thick board were investigated.
",,,
9,Study on Ultrasonic Inspection for Filament of 3D-Printer,"Ultrasonic testing equipment is developed to evaluate filaments of 3D-printer, as shown in Fig.1.
Nowadays, 3D-printer based on the fused deposition modeling (FDM) using thermoplastics is becoming
popular because of the simplicity and relatively low cost. In addition, filaments containing carbon-fibers
have also been developed to improve mechanical properties of the products. In the 3D-printer product made
by fiber reinforced filaments, quality of filaments has an influence on the reliability of the products;
especially in reproduced filaments. In the developed equipment, ultrasonic waves passed through the target
filament along the longitudinal direction are detected as shown in Fig.2, and physical properties of the
filament are predicted based on wave velocity. If the ultrasonic testing unit of filament is developed, it
becomes the innovation of industrial technology, resulting in the acceleration of filament reproduction. In
this study, we carried out measurement of ultrasonic wave velocity with several types of wedges (Fig.3) to
select appropriate wedge shape for velocity measurement.",,,
9,Industrial Potential of Ioach that Connects to Business,"Resistant to proteolysis
􄞉Able to hold water
(giving the gel-like properties)
Properties of mucins
Mucins coat the surfaces of cells
lining the respiratory, digestive,
and urogenital tracts, and in
some amphibia, the skin.",,,
9,"Preparation and Characterization of Biodegradable Nanoparticle Hydrogels
Using Cellulose Derivatives","CMC is an important water-soluble cellulose ether used in the many fields of
industry, and the polymer has various potential for use in pharmaceutical products
due to high bio-compatibility, biodegradability, and low immunogenicity. This study
reported the preparation and characterization of a nanoparticle hydrogels from CMC
with polyethylene glycol diglycidyl ether (PEGDE) or ethylene glycol diglycidyl ether
(EGDE) as a crosslinking agent (Fig. 1).",,,
9,"Surface Modification of Nano-fibrillated Bacterial Cellulose by the Esterification
Reactions","Property and advantage of NFBC [1,2]","The surface layer of NFBC could be selectively hydrophobized by
industrial process for acetyl cellulose production.",,
9,Detailed Analysis of the Substituent Distribution in Cellulose Derivatives,Cellulose derivatives and DS,"Chemical shifts and results of lineshape analysis allowed mole fractions
of eight AGUs",,
9,"Preparation of Cationic Nano-fibrillated Bacterial Cellulose with Antibacterial
Activity",Nano-fibrillated bacterial cellulose,,,
9,"Preparation and Characterization of Nano-fibrillated Bacterial Cellulose with
Hydrophobic Surface Characteristics",Characteristics and advantage of nano-fibrillated bacterial cellulose􄠄NFBC,"Surface of NFBC could be selectively hydrophobized in an aqueous solvent.
􀁺 Surface condition could be well quantified by the spin relaxation T1􀈡H measurement.
􀁺 SiNFBC could be applicable as a filler of fiber-reinforced plastics.",,
9,"Determination of the Substituent Distribution of Chitosan Derivatives Using NMR:
Mole Fraction of the Monomers in Sodium Carboxymethyl Chitosan (CMCS)","Determination of the substituent distribution in the polysaccharide derivatives is
generally very difficult because there are 8 monomers along the polymer chains
(Fig. 1). NMR is one of the most powerful techniques to reveal the monomer
composition of the polysaccharide derivatives. However, the NMR spectra of the
derivatives are very complicated due to the overlap of the resonances of the 8
monomers.Recently, our groups tried to determine the mole fractions of the 8 monomers in
sodium carboxymethyl cellulose (CMC) using a series of 13 CMC samples with DS
ranging 0.6-2.9 [1, 2]. Two-dimensional NMR measurements of these samples
permit us to assign the complicated NMR chemical shifts of the 8 monomers (Fig. 2)
and to quantify the mole fraction of each monomer against DS increase (Fig. 3),
which revealed the reaction mechanism of the CMC production.","Reaction mechanism of the carboxymethyl group substitution reaction for
chitosan will be estimated from the change of the mole fractions of the 8
monomers in CMCS against the DS.",,
9,"Enzymatic Saccharification of Waste Mushroom Bed: Relationship between
Sample Particle Size and Saccharification","Effective utilization of
biomass resources","Saccharification rate and sugar yield are correlated to the sample
particle size.
􄞉It was confirmed that the sample particle size is one of important factors
in enzymatic saccharification.",,
9,"Throughput Improvement of Multi-Beam Satellite Communication Systems Using
Resource Control Based on Spectrum Suppressed Transmission","In recent years, HTS (High Throughput Satellite) has attracted worldwide attention. Mostly, HTS
equips a high-power communication satellites, multi-beam satellite antennas, and Ka-band. Thus, it
can improve system throughput by using the frequency band for each beam repeatedly with dynamic
high-power allocation. Ground cellular networks, such as 4G and 5G, are strongly desired to respond
to temporary traffic increase, service area expansion where base station’s radio signal cannot reach,
and emergency communication in case of disaster. HTS will be a reasonable solution as the backbone
network for the ground cellular network.
Especially, HTS causes changes in received power (= C) and inter-beam interference power (= I)
depending with multi-beam resource allocation. However, involuntary C / (N+I) decreases system
throughput. Here, N denotes thermal noise power. Therefore, this paper proposes a novel resource
allocation method based on a spectrum compression with adaptive MODCODs for HTS. The proposed
method increases system throughput as well as maintains throughput fairness for multi-beam areas.
It performs the following steps.
􀣭 Step 1
Optimize beam power to maximize average received C / (N+I) in the multi-beam area
􀣭 Step 2
User station’s parameters such as the modulation method, the error correction coding rate, and the
spectrum compression rate to satisfy required C / (N+I) where the place of user􀀃 station.
As a result of simulation in which users are placed in various places in the beam, the proposed
method increases the system throughput up to 1.7 times compared with the conventional satellite
communication.",,,
9,Modeling of Human Avoidance Behaviour Manipulating Linear Slider,"In recent years, various human-machine cooperative systems are used in factory
production lines. These systems increase the efficiency of operators' productivity and are
becoming necessary indispensable tools. For development of the cooperative systems a
mathematical model of the operator is required. Conventionally, it has been assumed that human's
dynamic characteristics do not change while a required action is performed. However, in order to
avoid a collision crisis during manipulation, it is often necessary to manipulate differently than
usual (Fig. 1). At that time, because the actual human behavior is different from the mathematical
human model used in designing the cooperative system, not only does the system do not function
well, but also it is worried about disturbing the avoidance operation.
Therefore, this paper proposes a general-purpose human manipulation model which can
express even operations involving avoidance and detour, instead of using one mathematical
human model, by switching several mathematical models. Using position, velocity and force of a
grip obtained by experiments, human manipulation is divided into several partial motions by Kmeans
method. These motions are interpreted as the basic modes in order to express a human
manipulation and each model is described by ARX model. Next, the switching conditions are
successively determined by the SVM. By constructing a closed loop system with the experimental
system and the proposed human model, an avoidance behavior is simulated. The responses of the
simulation and experimental results show that the proposed model has adequate reproducibility
against sudden behavior (Fig.2).",,,
9,"Study on Damage Repair and Strength Evaluation for CFRTP of Three-
Dimensional Shape","Carbon fiber reinforced thermoplastic (CFRTPs), which are composite materials containing
carbon fibers as a reinforcing material, have been known to generally provide excellent specific
strengths and specific rigidities. In recent years, molding technology for CFRTPs of threedimensional
shape has been reported, and techniques for the damage repair and nondestructive
inspection of such CFRTPs are required for the securement of soundness.
This study aims to establish a damage repairing and nondestructive testing method that can be
applied to CFRTPs of three-dimensional shape by developing conventional studies of the
nondestructive inspection method using an electromagnetic phenomenon.
First, we analyzed the eddy-current density and temperature distribution induced by various coils
in CFRTPs using the finite element method software (COMSOL Multiphysics 5.3a) to select the
shape of the coil that is suitable for melting CFRTPs. Second, we manufactured destructive
experiment equipment according to JIS K 7089 and dropped steel balls under various conditions.
Then, we confirmed the surface and inside of CFRTP by eddy current testing and X-ray CT. Third,
we melted a CFRTP with fiber damage by induction heating, using selected coils based on finite
element analysis results, and we overlapped a CFRTP patch and pressed the two using a press
machine. Finally, we nondestructively inspected the repaired CFRTP using eddy current testing.
As a result, we elucidated the eddy-current density and temperature distribution of a CFRTP of
three-dimensional shape induced by various coils using finite element analysis. Moreover, we
succeeded in repairing delamination by heating, melting and pressing the CFRTP of threedimensional
shape.",,,
9,"Study on Aerodynamic Characteristics of Flapping Wing based on a Bird’s
structure","Biomimetics is the imitation of the models, systems,
and elements of nature for the purpose of solving
complex human problems.","• Mechanism designs of flexible main wing and driver system of the model are completed.
• The detailed design regarding above mechanisms will be performed in the near future.
• The effect of flexible flapping wing based on a bird’s structure will be shown by wind tunnel experiments.
Fig.3 Plan of driver system of flapping wing model
Arduino Uno
Motor drivers
Servomotor
(feathering motion)
DC brushless motor
(heaving motion)
Fig.2 Structure of wing
Secondary Primary feathers
feathers
-",,
9,Efforts to Improve Spirit of Entrepreneurship by Students in Nagaoka City,"SAIN offers a place for students to challenge mainly in Nagaoka City.
SAIN held the event ""Nagaoka STARTUP!"" In July this year.
This event is a pitch event operated mainly by students of Nagaoka.
The content of the event is divided into three stages.
First, three Nagaoka universities and one college of student who are interested in entrepreneurs will think about the idea of solving Nagaoka's ""traffic problem"".
Next, They brush up the idea. This stage, They interview the streets whether We really need the idea or can realize, and They ask the opinions of the people actually started.
Finally, They present a presentation in front of the companies of Nagaoka and the officials of the city. And They are provided resources to solve their ideas.
After this event, three teams are actually beginning to work to solve Nagaoka's traffic problems.
We will hold the second event of this event in September.
Our vision is to play a role of connecting students and companies, to be able to provide students with opportunities, internships, recruitment etc from companies.
",,,
9,"Direct Writing of Cu-based Microstructures Using Green Femtosecond Laser
Pulses","Femtosecond laser direct writing of metal microstructures has attracted attention in micro 3D
printing. To date, microstructures of noble metals such as Au and Ag were fabricated by using nearinfrared
(NIR) femtosecond laser pulse[1]. Finer microstructures beyond the diffraction limit were
formed successfully using the laser pulse-induced multiphoton absorption. However, it is difficult to
use this technique to fabricate Cu microstructures because Cu ions has intense absorption at ~800 nm
wavelength which was the same of NIR femtosecond laser one. In this study, green femtosecond laser
pulses were used for direct writing of Cu2O nanoparticle solutions. First, Cu2O nanoparticle solution
was prepared. Then, green femtosecond laser writing conditions were examined.
Cu2O nanoparticles were synthesized by polyol method [2]. The Cu2O nanoparticles were dispersed
into deionized water 2-propanol and PVP mixed solution. The Cu2O nanoparticle solution was spincoated
on glass substrates to form Cu2O nanoparticle films. After that, the solution film was baked on
a hot plate at 80°C. Direct writing using green femtosecond laser was performed in air. Wavelength,
pulse duration, and repetition rate of the laser were 515 nm, 100 fs, and 40 MHz, respectively. The
laser pulses were focused onto the samples using an objective lens with a numerical aperture of 0.90.
Figure 1 shows a FE-SEM image of the synthesized Cu2O nanoparticles. Monodispersed Cu2O
spheres with the diameter of ~800 nm were successfully prepared. The threshold power of the
femtosecond laser direct writing was 2.7 mW at writing speed of 300 μm/s. The microstructure was
showen in Fig.2. Cu2O nanoparticles were sintered to form connected microstructures. Crystal
structures and electrical conductivities of the microstructures will be investigated in future.",,,
9,"Observation of Three Dimensional Nanostructures Fabricated by Two-Photon
Polymerization Method","The development in 3D printing technology has enabled the ability to fabricate micromachines
(MEMS) with feature size smaller than 100 nm. In this research, a MEMS system with piston and filter
for cracking bacterial cells and recovering useful precious chemical substances inside was fabricated
by two-photon polymerization method. The structure of the created MEMS was observed and analyzed
with a high resolution scanning electron microscope (Fig. 1). Then, the MEMS will be put into an
experimental electric field to induce the movement of the piston. The piston can destroy the bacterial
cell and release precious matter (Fig. 2). The useful matter will pass through the filter of MEMS and
will be collected at the other end of the system for further research purposes.",,,
9,Reduction of Nonlinear Friction for Motor Drive by Friction Compensation,"This paper reports on the results of investigating previous research on friction compensation in motor drive and clarifies the position of this research. Mechatronics systems (ex. a machine tool) require more high-speed and high-accuracy positioning control to improve productivity. It is known that the friction caused by gears, oil-seals and ball-bearing mechanisms is nonlinear and causes the degradation of positioning accuracy for the system. The influence of these frictions different depending on occurred elements, rotational direction of motor shaft and drive situation such as a high or low rotational speed. Therefore, it is difficult to compensate by one method for various situation and it is desirable to correspond appropriate methods for each cause of occurrence and situation. In this research, we expose the friction characteristics of oil seals and/or gears and propose a new friction model for compensation that can properly express nonlinear characteristics for each element.
",,,
9,"Evaluation for Sliding Behavior of Water Droplets on Surface of VGCF
Composited Silicone Sheet","Water-droplets on the surface of the silicone rubber sheet composite with VGCF (Vapor
Grown Carbon Fiber) become slippery. Sliding resistance applied to water droplets on the
surface of the sheet and the amount of VGCF decreasing this resistance have not been made
clear. The aims of this research were to create a sheet with different amount of VGCF and to
examine the amount of VGCF which the water drop on the surface is the slippery most.","Figure 3 shows that the pull off forces on the
surfaces of the pure sheet and the VGCF2% sheet.
The forces linearly increase during early stage of
the shearing process and then reach a steady state.
The initial inclination of the force applied to the
surface of the pure sheet and the VGCF 2% sheet
coincide. The pull off forces in the steady state of
VGCF2% sheet were approximately 0.5 times than those of the pure sheet.",,
9,"Fundamental Evaluation on the Mechanical Properties of Snow Bank Formed by
Snow Removing Work -Effects of Moisture Content and Applied Pressure-","􄞉The snow which was snowed and made to the
shoulder is called snowy bank.
􄞉 The snowy bank according to the environment
and snow quality.
􄞉 Investigate to prevent dangers of pedestrians
and vehicles.","􄞉At present, since the variation in measurement data is large, a lot of
measurement data is required to obtain a clear trend, so it is necessary
to take more data.
􄞉Quantification of the degree of binding between particles should be
made possible by eliminating artificial errors and simpler methods.",,
9,"Optimization of Mirror Magnetic Fields on a Permanent Magnet ECR
Ion Source for the Aluminum Multi-Charged Ions Generation","In recent years, in the semiconductor manufacturing, the ion injection to dope the substrate material becomes
the indispensable technique. A power semiconductor market grows rapidly in particular. The development of the
ion injection technique of aluminum to SiC which is the substrate material becomes the key of the competitiveness
improvement. A study using a multi-charged ion is carried out to lower the acceleration voltage of the device.
Power semiconductor production and a technique are indispensable for electricity conversion and control.
Therefore, our Sustainable Development Goals is the generation technology of the aluminum multi-charged ion and
the improvement of ion beam current.
We generate a multi-charged ion using Electron Cyclotron Resonance (ECR) ion source. As the results of last
year, we improved ion beam by having lowered the pressure in the ECR ion source. The result is shown in the
figure 1. In addition, the experimental parameter of this time optimizes to Ar 4+ . We were able to detect an ion of
Ar 7+ from this result. The quantity of ion beam current was approximately 130nA. The ionization energies of Ar 7+
and Ar 4+ are nearly (Ar 7+ : about 124 eV , Al 4+ : about 120 eV). Therefore, it is theoretically possible to generate Al 4+
by detecting Ar 7+ .
A purpose of this study is to check the optimum in the generation of the argon multi-charged ion. In addition, we
inspect the ionization about the influence of the mirror magnetic field and the optimization etc. Since the specular
magnetic field of the Oshima-ECR ion source is formed by a combination of a permanent magnet and a solenoid
coil, it can be optimized by changing the magnetic field strength of the solenoid coil [1]. It is known that the
solenoid coil can obtain the
maximum ion beam current using
the coil 1 and the coil 3. On the
day of the presentation, we
announce Ar 7+ optimization.",,,
9,"Development of ultrasonically aided
irregular shaper processing techniqueb","Currently…
Turning, generate small
cutting chips which cause
insulation problems ","?With ultrasonic irregular shaper cutting can obtain smooth surface compared with
“without ultrasonic irregular shaper cutting”
?Low stiffness of shaper cutting machine was suggested",,
9,"Study on visualization for stress distribution of
test piece using mechanoluminescence materials","Many bridges were built during the period of high economic growth, and now there are about 700 thousand bridges with
over 2 m in length. However, about 20% of these were installed over fifty years ago, therefore, aging is becoming serious.
For this reason, there are many defects found in a non-destructive inspection of bridges at the areas of stress concentration
such as corners or welded materials. Currently, the non-destructive inspection is mainly used, such as magnetic particle
flaw detection test, ultrasonic test and x-ray transmission test. However, these inspections can be applied only in small
areas. Furthermore, these inspections are required deep experience and higher skill for the inspectors.
The purpose of this study is to develop an inspection method which can visualize stress inside the material and conduct the
test simply.","The mechanoluminescence materials showed luminescence on the stress concentration point. In addition, it was found that the
luminance distribution and the maximum principal stress distribution by finite element analysis are highly correlated. From the
above, stress concentration caused by defects can be found from the luminance distribution by using the mechanoluminescence
materials, and by visualizing the principal stress distribution, it is possible to identify the position of defects",,
9,"Study on Detection of Bolt Looseness
by Vibration Measurement using a Piezo-cable","The structures and the machinery which support social foundation possess many splices. Especially,
bolts are the most often used as fastening elements. However, these bolts loosen or break by external
forces which act on the fastening parts. As a result, that they may lead to destruction of the structures and
the machinery. As the measures to prevent such accidents, periodic inspections are carried out. However,
the check by the workers includes problems of time, labor and costs, and the inspection precision is left
with doubts. In this research, we have developed a sensor which can monitor the fastening condition based
on the change of the shear load applied to the bolts using a piezo-cable. It is possible to construct a
system of self-check function and to prevent accidents.","When the bolt is tightened, output voltage from the sensor was low. On the other hand, when the bolt is loosened, output voltage
from the sensor was high. From these results, the Bolt Looseness Sensor using the Piezo-cables is expected as the sensor for
monitoring of the fastening state, because the output voltage from the sensor greatly changed by the change of the fastening state.",,
9,"Sc cr re ee en ni in ng g f fo or r t th he e P Pl la an nt t G Gr ro ow wt th h P Pr ro o mo ot ti in ng g S Se ec co on nd da ar ry y
Me et ta ab bo ol li it te es s o of f R Rh hi iz zo os sp ph he er re e A Ac ct ti in no o my yc ce et te es s","Plants and actinomycetes have a symbiotic relationship. Actinomycetes grow using nutrients
and various metabolites of root exudates in rhizosphere. Actinomycetes have variety of metabolic
pathways that can synthesize bioactive secondary metabolites. Several  secondary metabolites by
actinomycetes are known to promote or inhibit the plant growth. The aim of our study is to search
and identify plant growth promoting metabolites of actinomycetes.
Actinomycetes were isolated from dadacha soybean rhizosphere. We constructed the co-culture
system between model plant  Arabidopsis thaliana and actinomycetes to screen plant growth
promoting metabolites. Actinomycetes and  Arabidopsis were grown on a double-layer agar
medium constructed using YS agar for bacteria and MS agar for plants, and confirmed the effect
of actinomycete metabolites on  Arabidopsis growth. Two bacterial strains promoted  Arabidopsis
growth on the agar plate (Fig. 1). Next, the plant growth promoting activity of liquid culture
broth of one actinomycete was examined. As a result, culture broth after 24 hr incubation
promoted  Arabidopsis growth and this suggested that it contains active metabolites (Fig. 2). The
metabolites in the culture broth were extracted using ethyl acetate. Metabolites having the
plant growth promoting activity were extracted into ethyl acetate. As a result of HPLC analysis,
the active metabolite was not indole acetic acid, a kind of plant hormones.",,,
